League,Club,PlayerName,Mins,Goals,Shots,OnTarget,Year
La Liga,(BAR),Lionel Messi,2910,37,179,76,2016
Serie A,(LAZ),Ciro Immobile,3371,36,142,71,2019
MLS,(LAF),Carlos Vela,3128,36,167,75,2019
La Liga,(BAR),Lionel Messi,2849,36,170,87,2018
Bundesliga,(BAY),Robert Lewandowski,2783,34,138,67,2019
France Ligue 1,(PSG),Kylian Mbappe-Lottin,2488,33,125,70,2018
La Liga,(BAR),Lionel Messi,3123,33,197,95,2017
Serie A,(JUV),Cristiano Ronaldo,3127,31,208,79,2019
MLS,(ACM),Zlatan Ibrahimovic,2998,31,159,67,2019
Bundesliga,(ARS),Pierre-Emerick Aubameyang,2894,31,116,78,2016
Bundesliga,(BAY),Robert Lewandowski,2871,30,143,86,2016
Premier League,(TOT),Harry Kane,2636,29,110,58,2016
Serie A,(LAZ),Ciro Immobile,2799,29,110,53,2017
Serie A,(PSG),Mauro Icardi,3096,29,101,53,2017
Serie A,(ROM),Edin Dzeko,3194,29,178,99,2016
Bundesliga,(BAY),Robert Lewandowski,2247,29,127,54,2017
Bundesliga,(CHE),Timo Werner,2744,28,123,63,2019
MLS,(ATA),Josef Martinez,3050,28,128,52,2019
La Liga,(ATL),Luis Suarez,2940,28,120,57,2016
Serie A,(NAP),Dries Mertens,2671,28,148,102,2016
Serie A,(SAM),Fabio Quagliarella,3269,26,141,57,2018
La Liga,(JUV),Cristiano Ronaldo,2375,26,178,76,2017
Serie A,(TOR),Andrea Belotti,3241,26,130,78,2016
Premier League,(INT),Romelu Lukaku,3448,25,110,53,2016
Bundesliga,(KOL),Anthony Modeste,3075,25,101,53,2016
Campeonato Brasileiro S̩rie A,(FLA),Gabriel Barbosa,2716,25,117,62,2019
La Liga,(BAR),Lionel Messi,3067,25,159,68,2019
La Liga,(JUV),Cristiano Ronaldo,2634,25,162,60,2016
La Liga,(ATL),Luis Suarez,3008,25,121,55,2017
Serie A,(IMI),Gonzalo Higuain,3138,24,134,91,2016
